INFO 2016-10-18 18:30:32,902 Mean loss in 26th epoch is: 2.10767126083
INFO 2016-10-18 18:30:33,311 Overall VALIDATION loss is: 2.08349752426
INFO 2016-10-18 18:30:33,311 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:34,584 Mean loss in 27th epoch is: 2.08320355415
INFO 2016-10-18 18:30:34,992 Overall VALIDATION loss is: 2.07924890518
INFO 2016-10-18 18:30:34,992 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:36,226 Mean loss in 28th epoch is: 2.06208848953
INFO 2016-10-18 18:30:36,634 Overall VALIDATION loss is: 2.04851794243
INFO 2016-10-18 18:30:36,634 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:37,835 Mean loss in 29th epoch is: 2.04049015045
INFO 2016-10-18 18:30:38,224 Overall VALIDATION loss is: 2.0278570652
INFO 2016-10-18 18:30:38,225 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:39,464 Mean loss in 30th epoch is: 2.02164340019
INFO 2016-10-18 18:30:39,886 Overall VALIDATION loss is: 2.00599861145
INFO 2016-10-18 18:30:39,886 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:41,139 Mean loss in 31th epoch is: 2.00491714478
INFO 2016-10-18 18:30:41,555 Overall VALIDATION loss is: 2.00200653076
INFO 2016-10-18 18:30:41,556 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:42,899 Mean loss in 32th epoch is: 2.15591621399
INFO 2016-10-18 18:30:43,260 Overall VALIDATION loss is: 2.01417446136
INFO 2016-10-18 18:30:43,261 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:43,569 Mean loss in 33th epoch is: 2.30620241165
INFO 2016-10-18 18:30:43,996 Overall VALIDATION loss is: 2.00206613541
INFO 2016-10-18 18:30:43,996 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:44,317 Mean loss in 34th epoch is: 2.14297866821
INFO 2016-10-18 18:30:44,739 Overall VALIDATION loss is: 2.12821817398
INFO 2016-10-18 18:30:44,739 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:45,060 Mean loss in 35th epoch is: 2.10585165024
INFO 2016-10-18 18:30:45,452 Overall VALIDATION loss is: 2.05551218987
INFO 2016-10-18 18:30:45,452 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:45,764 Mean loss in 36th epoch is: 2.0612642765
INFO 2016-10-18 18:30:46,165 Overall VALIDATION loss is: 2.03245210648
INFO 2016-10-18 18:30:46,165 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:46,475 Mean loss in 37th epoch is: 2.03225040436
INFO 2016-10-18 18:30:46,870 Overall VALIDATION loss is: 2.00843071938
INFO 2016-10-18 18:30:46,870 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:46,870 Normal Early stop
INFO 2016-10-18 18:30:46,870 Training complete
INFO 2016-10-18 20:38:48,509 Training start
INFO 2016-10-18 20:38:52,259 Mean loss in 0th epoch is: 2.64760065079
INFO 2016-10-18 20:38:53,338 Overall VALIDATION loss is: 2.5002746582
INFO 2016-10-18 20:38:53,338 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:38:54,986 Mean loss in 1th epoch is: 2.47459983826
INFO 2016-10-18 20:38:56,043 Overall VALIDATION loss is: 2.39719772339
INFO 2016-10-18 20:38:56,043 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:38:57,629 Mean loss in 2th epoch is: 2.37620663643
INFO 2016-10-18 20:38:58,045 Overall VALIDATION loss is: 2.35871863365
INFO 2016-10-18 20:38:58,045 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:38:59,625 Mean loss in 3th epoch is: 2.36539077759
